* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 09-24-2018
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 09-24-2018
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 09-24-2018
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 09-24-2018
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 09-24-2018
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 09-24-2018
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 09-24-2018
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 09-24-2018
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 09-24-2018
* Calibration ROI is expired  = No
* Calibration ROI performed on = 09-24-2018
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 09-24-2018
* Chemistry = TAQMAN
* Date Created = 2019-11-19 14:18:38 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = E:\20191111_AG_13.eds
* Experiment Name = 20191111_AG_13
* Experiment Run End Time = 2019-11-11 15:19:56 PM CST
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	EXPFAIL	HIGHSD	NOAMP	CTFAIL
60	E12	false	NCT	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	32	No Amp		N	N	Y	N
61	F1	false	W 6 MC 5	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y	N
62	F2	false	W 6 MC 6	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y	N
63	F3	false	S 1-MC-1	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	35	No Amp		N	N	Y	N
64	F4	false	S 1-MC-2	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y	N
65	F5	false	S 1-MC-3	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y	N
68	F8	false	S 2-MC-1	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y	N
70	F10	false	S 2-MC-3	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y	N
71	F11	false	+	B	UNKNOWN	FAM	NFQ-MGB	25.624	25.161	0.654								false	0.010	true	3	24	Amp		N	Y	N	N
72	F12	false	NCT	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y	N
73	G1	false	W 6 MC 5	C	UNKNOWN	VIC	NFQ-MGB	24.264	24.136	0.180								false	0.010	true	3	22	Amp		N	N	N	N
73	G1	false	W 6 MC 5	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N
74	G2	false	W 6 MC 6	C	UNKNOWN	VIC	NFQ-MGB	30.198	30.023	0.247								false	0.010	true	3	29	Amp		N	N	N	N
74	G2	false	W 6 MC 6	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	20	No Amp		N	N	Y	N
75	G3	false	S 1-MC-1	C	UNKNOWN	VIC	NFQ-MGB	23.117	23.208	0.129								false	0.010	true	3	22	Amp		N	N	N	N
75	G3	false	S 1-MC-1	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y	N
76	G4	false	S 1-MC-2	C	UNKNOWN	VIC	NFQ-MGB	31.089	31.781	0.978								false	0.010	true	3	30	Amp		N	Y	N	N
76	G4	false	S 1-MC-2	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y	N
77	G5	false	S 1-MC-3	C	UNKNOWN	VIC	NFQ-MGB	24.352	24.307	0.064								false	0.010	true	3	23	Amp		N	N	N	N
77	G5	false	S 1-MC-3	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y	N
80	G8	false	S 2-MC-1	C	UNKNOWN	VIC	NFQ-MGB	30.868	30.224	0.910								false	0.010	true	3	29	Amp		N	Y	N	N
80	G8	false	S 2-MC-1	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y	N
82	G10	false	S 2-MC-3	C	UNKNOWN	VIC	NFQ-MGB	26.415	26.115	0.423								false	0.010	true	3	25	Amp		N	N	N	N
82	G10	false	S 2-MC-3	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y	N
83	G11	false	+	C	UNKNOWN	VIC	NFQ-MGB	21.111	21.466	0.502								false	0.010	true	3	20	Amp		N	Y	N	N
83	G11	false	+	D	UNKNOWN	FAM	NFQ-MGB	18.895	19.256	0.510								false	0.010	true	3	18	Amp		N	Y	N	N
84	G12	false	NCT	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y	N
84	G12	false	NCT	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	22	No Amp		N	N	N	N
85	H1	false	W 6 MC 5	C	UNKNOWN	VIC	NFQ-MGB	24.009	24.136	0.180								false	0.010	true	3	23	Amp		N	N	N	N
85	H1	false	W 6 MC 5	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N
86	H2	false	W 6 MC 6	C	UNKNOWN	VIC	NFQ-MGB	29.848	30.023	0.247								false	0.010	true	3	28	Amp		N	N	N	N
86	H2	false	W 6 MC 6	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y	N
87	H3	false	S 1-MC-1	C	UNKNOWN	VIC	NFQ-MGB	23.299	23.208	0.129								false	0.010	true	3	22	Amp		N	N	N	N
87	H3	false	S 1-MC-1	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y	N
88	H4	false	S 1-MC-2	C	UNKNOWN	VIC	NFQ-MGB	32.472	31.781	0.978								false	0.010	true	3	31	Amp		N	Y	N	N
88	H4	false	S 1-MC-2	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y	N
89	H5	false	S 1-MC-3	C	UNKNOWN	VIC	NFQ-MGB	24.262	24.307	0.064								false	0.010	true	3	23	Amp		N	N	N	N
89	H5	false	S 1-MC-3	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y	N
92	H8	false	S 2-MC-1	C	UNKNOWN	VIC	NFQ-MGB	29.581	30.224	0.910								false	0.010	true	3	28	Amp		N	Y	N	N
92	H8	false	S 2-MC-1	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y	N
94	H10	false	S 2-MC-3	C	UNKNOWN	VIC	NFQ-MGB	25.816	26.115	0.423								false	0.010	true	3	25	Amp		N	N	N	N
94	H10	false	S 2-MC-3	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y	N
95	H11	false	+	C	UNKNOWN	VIC	NFQ-MGB	21.821	21.466	0.502								false	0.010	true	3	20	Amp		N	Y	N	N
95	H11	false	+	D	UNKNOWN	FAM	NFQ-MGB	19.617	19.256	0.510								false	0.010	true	3	18	Amp		N	Y	N	N
96	H12	false	NCT	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y	Y
96	H12	false	NCT	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	16	No Amp		N	N	N	Y
