* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 09-24-2018
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 09-24-2018
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 09-24-2018
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 09-24-2018
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 09-24-2018
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 09-24-2018
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 09-24-2018
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 09-24-2018
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 09-24-2018
* Calibration ROI is expired  = No
* Calibration ROI performed on = 09-24-2018
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 09-24-2018
* Chemistry = TAQMAN
* Date Created = 2019-11-19 11:49:55 AM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = E:\20191105_AG_4.eds
* Experiment Name = Quantification-TaqMan
* Experiment Run End Time = 2019-11-05 11:55:49 AM CST
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	EXPFAIL	PRFLOW	NOISE	HIGHSD	SPIKE	NOAMP	PRFDROP
1	A1	false	S 5-OF-1	Ofav	UNKNOWN	FAM	NFQ-MGB	33.186	32.952	0.332								false	0.010	true	3	32	Amp		N	N	N	N	N	N	N
2	A2	false	S 5-OF-2	Ofav	UNKNOWN	FAM	NFQ-MGB	30.884	30.675	0.296								false	0.010	true	3	30	Amp		N	N	N	N	N	N	N
4	A4	false	S 5-OF-4	Ofav	UNKNOWN	FAM	NFQ-MGB	30.821	31.581	1.075								false	0.010	true	3	29	Amp		N	N	N	Y	N	N	N
6	A6	false	S 6-OF-1	Ofav	UNKNOWN	FAM	NFQ-MGB	17.189	17.023	0.234								false	0.010	true	3	16	Amp		N	N	N	N	N	N	N
8	A8	false	S 6-OF-3	Ofav	UNKNOWN	FAM	NFQ-MGB	17.547	17.601	0.077								false	0.010	true	3	16	Amp		N	N	N	N	N	N	N
9	A9	false	S 6-OF-4	Ofav	UNKNOWN	FAM	NFQ-MGB	16.003	16.052	0.070								false	0.010	true	3	14	Amp		N	N	N	N	N	N	N
10	A10	false	S 6-OF-5	Ofav	UNKNOWN	FAM	NFQ-MGB	17.839	17.483	0.503								false	0.010	true	3	16	Amp		N	N	N	Y	N	N	N
11	A11	false	+	Ofav	UNKNOWN	FAM	NFQ-MGB	21.268	21.388	0.169								false	0.010	true	3	19	Amp		N	N	N	N	N	N	N
12	A12	false	NCT	Ofav	UNKNOWN	FAM	NFQ-MGB	Undetermined	31.087									false	0.010	true	3	39	No Amp		Y	N	N	N	N	Y	N
13	B1	false	S 5-OF-1	Ofav	UNKNOWN	FAM	NFQ-MGB	32.717	32.952	0.332								false	0.010	true	3	30	Inconclusive		N	N	N	N	N	N	N
14	B2	false	S 5-OF-2	Ofav	UNKNOWN	FAM	NFQ-MGB	30.466	30.675	0.296								false	0.010	true	3	30	Amp		N	N	N	N	N	N	N
16	B4	false	S 5-OF-4	Ofav	UNKNOWN	FAM	NFQ-MGB	32.342	31.581	1.075								false	0.010	true	3	31	Amp		N	N	N	Y	N	N	N
