* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 09-24-2018
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 09-24-2018
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 09-24-2018
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 09-24-2018
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 09-24-2018
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 09-24-2018
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 09-24-2018
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 09-24-2018
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 09-24-2018
* Calibration ROI is expired  = No
* Calibration ROI performed on = 09-24-2018
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 09-24-2018
* Chemistry = TAQMAN
* Date Created = 2019-11-08 09:01:03 AM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = C:\Users\rcunning\Documents\Gomez\20191104_AG_2.eds
* Experiment Name = 20191104_AG_2
* Experiment Run End Time = 2019-11-04 13:12:50 PM CST
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	EXPFAIL	AMPNC	HIGHSD	NOAMP
31	C7	false	4-OF-2	A	UNKNOWN	FAM	NFQ-MGB	30.239	30.073	0.236								false	0.010	true	3	29	Amp		N	N	N	N
32	C8	false	4-OF-3	A	UNKNOWN	FAM	NFQ-MGB	25.554	25.630	0.108								false	0.010	true	3	24	Amp		N	N	N	N
33	C9	false	4-OF-4	A	UNKNOWN	FAM	NFQ-MGB	23.630	23.737	0.151								false	0.010	true	3	22	Amp		N	N	N	N
34	C10	false	4-OF-5	A	UNKNOWN	FAM	NFQ-MGB	24.086	23.483	0.853								false	0.010	true	3	23	Amp		N	N	Y	N
35	C11	false	+	A	UNKNOWN	FAM	NFQ-MGB	27.642	27.642									false	0.010	true	3	26	Amp		N	N	N	N
36	C12	false	NCT	A	NTC	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		N	N	N	N
37	D1	false	3-OF-1	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N
38	D2	false	3-OF-2	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N
39	D3	false	3-OF-3	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	12	No Amp		N	N	N	N
40	D4	false	3-OF-4	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N
41	D5	false	3-OF-5	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	9	No Amp		N	N	N	N
42	D6	false	4-OF-1	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	20	No Amp		N	N	N	N
43	D7	false	4-OF-2	A	UNKNOWN	FAM	NFQ-MGB	29.906	30.073	0.236								false	0.010	true	3	29	Amp		N	N	N	N
44	D8	false	4-OF-3	A	UNKNOWN	FAM	NFQ-MGB	25.706	25.630	0.108								false	0.010	true	3	24	Amp		N	N	N	N
45	D9	false	4-OF-4	A	UNKNOWN	FAM	NFQ-MGB	23.844	23.737	0.151								false	0.010	true	3	23	Amp		N	N	N	N
46	D10	false	4-OF-5	A	UNKNOWN	FAM	NFQ-MGB	22.879	23.483	0.853								false	0.010	true	3	21	Amp		N	N	Y	N
47	D11	false	+	A	UNKNOWN	FAM	NFQ-MGB	Undetermined	27.642									false	0.010	true	3	39	No Amp		Y	N	N	N
48	D12	false	NCT	A	NTC	FAM	NFQ-MGB	32.948										false	0.010	true	3	39	No Amp		N	Y	N	N
49	E1	false	3-OF-1	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N
50	E2	false	3-OF-2	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	Amp		Y	N	N	N
51	E3	false	3-OF-3	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	10	No Amp		N	N	N	Y
52	E4	false	3-OF-4	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N
53	E5	false	3-OF-5	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	Y
