* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 09-24-2018
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 09-24-2018
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 09-24-2018
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 09-24-2018
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 09-24-2018
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 09-24-2018
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 09-24-2018
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 09-24-2018
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 09-24-2018
* Calibration ROI is expired  = No
* Calibration ROI performed on = 09-24-2018
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 09-24-2018
* Chemistry = TAQMAN
* Date Created = 2019-11-22 12:31:54 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = E:\20191119_AG_23.eds
* Experiment Name = 20191119_AG_23
* Experiment Run End Time = 2019-11-19 10:48:11 AM CST
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	EXPFAIL	PRFLOW	HIGHSD	NOAMP	CTFAIL
38	D2	false	S 4-OF-1	A	UNKNOWN	FAM	NFQ-MGB	23.831	24.109	0.392								false	0.010	true	3	23	Amp		N	N	N	N	N
39	D3	false	W 4 OF 3	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	27	No Amp		N	N	N	N	N
40	D4	false	W 4 OF 4	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	Y	N
42	D6	false	S 5-OF-5	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	Y	N
43	D7	false	S 6-OF-2	A	UNKNOWN	FAM	NFQ-MGB	28.933	28.157	1.098								false	0.010	true	3	28	Amp		N	N	Y	N	N
44	D8	false	S 4-MC-5	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	33	No Amp		N	N	N	Y	N
45	D9	false	+	A	UNKNOWN	FAM	NFQ-MGB	21.687	20.648	1.469								false	0.010	true	3	21	Amp		N	N	Y	N	N
46	D10	false	NCT	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	Y	N
49	E1	false	W 3 OF 4	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	Y	N
50	E2	false	S 4-OF-1	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	Y	N
51	E3	false	W 4 OF 3	B	UNKNOWN	FAM	NFQ-MGB	32.096	32.123	0.038								false	0.010	true	3	32	Amp		N	N	N	N	N
52	E4	false	W 4 OF 4	B	UNKNOWN	FAM	NFQ-MGB	35.153	35.123	0.042								false	0.010	true	3	34	Inconclusive		N	N	N	N	N
54	E6	false	S 5-OF-5	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	Y	N
55	E7	false	S 6-OF-2	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	20	No Amp		N	N	N	Y	Y
56	E8	false	S 4-MC-5	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	21	No Amp		N	N	N	Y	N
57	E9	false	+	B	UNKNOWN	FAM	NFQ-MGB	25.396	25.670	0.388								false	0.010	true	3	24	Amp		N	N	N	N	N
58	E10	false	NCT	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	19	No Amp		N	N	N	Y	N
61	F1	false	W 3 OF 4	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	29	No Amp		N	N	N	Y	N
62	F2	false	S 4-OF-1	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	9	No Amp		N	N	N	Y	N
63	F3	false	W 4 OF 3	B	UNKNOWN	FAM	NFQ-MGB	32.150	32.123	0.038								false	0.010	true	3	33	Amp		N	N	N	N	N
64	F4	false	W 4 OF 4	B	UNKNOWN	FAM	NFQ-MGB	35.093	35.123	0.042								false	0.010	true	3	34	Inconclusive		N	N	N	N	N
66	F6	false	S 5-OF-5	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	12	No Amp		N	N	N	Y	N
67	F7	false	S 6-OF-2	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	Y	N
68	F8	false	S 4-MC-5	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	33	No Amp		N	N	N	Y	N
69	F9	false	+	B	UNKNOWN	FAM	NFQ-MGB	25.944	25.670	0.388								false	0.010	true	3	25	Amp		N	N	N	N	N
70	F10	false	NCT	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	19	No Amp		N	N	N	Y	N
